SID,Test_date,Metrics,Temp_1,Temp_2,Temp_3,DO_1,DO_2,DO_3,sat_1,sat_2,sat_3
S23,8/31/2021,RMSE,0.0502,0.0475,0.0462,0.00686,0.00641,0.00643,0.0865,0.0837,0.0899
S23,8/31/2021,Mean,18.1,18.1,18.1,8.62,8.55,8.79,91.2,90.5,93
S23,8/31/2021,Range,0.227,0.236,0.286,0.051,0.054,0.041,0.686,0.673,0.717
S24R,9/1/2021,lm_slope,0.00026,0.00025,0.00026,-9.60E-06,-1.20E-05,-1.10E-05,0.00044,4.00E-04,0.00044
S24R,9/1/2021,R_square,0.96,0.95,0.96,0.71,0.77,0.81,0.95,0.95,0.96
S24R,9/1/2021,RMSE,0.105,0.111,0.103,0.0119,0.0125,0.0104,0.195,0.176,0.173
S24R,9/1/2021,Mean,14.2,14.2,14.2,9.72,9.65,9.9,94.7,94,96.4
S24R,9/1/2021,Range,1.64,1.56,1.65,0.104,0.108,0.1,2.69,2.3,2.68
S25,8/30/2021,lm_slope,0.00012,0.00011,0.00012,-1.20E-05,-2.70E-06,7.30E-08,1.00E-04,0.00018,0.00022
S25,8/30/2021,R_square,0.98,0.99,0.98,0.69,0.33,0.00044,0.54,0.93,0.95
S25,8/30/2021,RMSE,0.0348,0.0262,0.0353,0.015,0.00732,0.00655,0.184,0.0953,0.096
S25,8/30/2021,Mean,16.7,16.7,16.7,8.48,8.52,8.6,87.3,87.6,88.5
S25,8/30/2021,Range,0.713,0.662,0.67,0.102,0.043,0.03,0.991,1.15,1.34
S26R,8/31/2021,lm_slope,0.00019,0.00018,0.00018,-1.60E-06,-1.30E-06,3.00E-06,0.00037,0.00035,0.00039
S26R,8/31/2021,R_square,0.95,0.95,0.95,0.16,0.11,0.52,0.96,0.94,0.96
S26R,8/31/2021,RMSE,0.0826,0.0809,0.0795,0.00691,0.00704,0.00564,0.15,0.173,0.145
S26R,8/31/2021,Mean,13.4,13.4,13.4,9.48,9.51,9.32,90.8,91,89.3
S26R,8/31/2021,Range,1.21,1.19,1.18,0.041,0.039,0.034,2.43,2.36,2.49
S27R,9/3/2021,lm_slope,0.00017,0.00017,0.00018,3.60E-06,2.60E-06,-2.50E-07,0.00039,4.00E-04,4.00E-04
S27R,9/3/2021,R_square,0.85,0.88,0.88,0.33,0.29,0.003,0.87,0.88,0.88
S27R,9/3/2021,RMSE,0.132,0.124,0.129,0.00999,0.00778,0.00861,0.289,0.28,0.288
S27R,9/3/2021,Mean,8.4,8.43,8.42,10.6,10.5,10.8,90.4,89.5,91.8
S27R,9/3/2021,Range,1.22,1.26,1.32,0.087,0.047,0.043,3.2,3.02,3.05
S28R,9/1/2021,lm_slope,2.00E-04,0.00019,0.00019,-7.00E-06,-8.70E-06,-4.70E-06,0.00036,0.00033,0.00036
S28R,9/1/2021,R_square,0.95,0.95,0.95,0.75,0.8,0.55,0.95,0.95,0.95
S28R,9/1/2021,RMSE,0.0913,0.0923,0.0923,0.00833,0.00913,0.00879,0.174,0.158,0.168
S28R,9/1/2021,Mean,11.4,11.4,11.4,10.3,10.4,10.4,94.3,95,95.4
S28R,9/1/2021,Range,1.34,1.29,1.28,0.077,0.082,0.057,2.47,2.38,2.54
